Gender,shoulderlength,waistcircumference,Age,Heightin,Weightlbs
1,148,850,26,61,142
0,145,933,41,71,180
1,142,708,21,64,120
0,141,870,35,68,160
1,164,727,23,68,147
0,167,964,42,68,205
1,157,923,22,66,175
0,148,857,31,66,175
1,156,1163,45,63,195
0,180,868,21,77,213
1,136,968,44,67,180
0,145,950,39,69,175
1,141,964,21,65,165
0,164,1073,32,72,250
1,136,914,23,66,168
0,144,1010,23,74,211
1,144,755,24,59,118
0,143,1065,36,70,220
1,125,944,37,63,150
0,147,824,23,72,160
1,161,935,33,69,212
0,144,994,32,70,195
1,146,942,36,66,150
0,160,866,28,69,155
1,140,995,40,65,169
0,161,986,36,72,230
1,166,848,24,66,158
0,173,1045,26,75,250
1,142,929,30,64,160
0,156,1007,22,68,200
1,133,835,36,66,145
0,140,1033,38,69,196
1,149,772,19,65,137
0,137,908,26,67,170
1,132,805,19,67,130
0,141,1028,34,70,215
1,148,868,33,66,160
0,134,874,31,70,167
1,141,792,34,64,130
0,146,999,32,70,202
1,133,1137,31,60,172
0,159,837,28,71,165
1,154,881,29,66,165
0,133,880,24,66,163
1,132,702,31,64,110
0,131,978,23,66,175
1,142,954,33,66,150
0,162,827,26,79,215
1,143,796,19,65,150
0,144,1030,33,70,212
1,156,1000,23,63,159
0,138,885,32,64,135
1,128,742,23,56,107
0,159,1130,30,73,230
1,146,912,21,64,154
0,151,912,36,71,176
1,147,913,24,67,160
0,142,864,25,69,178
1,142,821,30,64,137
0,145,965,33,73,200
1,140,930,30,63,145
0,153,777,21,75,168
1,118,901,28,66,155
0,148,1063,47,71,205
1,145,935,22,69,155
0,143,870,37,65,150
1,146,1077,40,66,185
0,160,966,27,74,198
1,133,1112,42,66,200
0,159,806,20,71,151
1,144,812,26,65,134
0,136,1096,30,71,194
1,150,869,40,67,127
0,138,895,20,68,150
1,140,712,29,61,120
0,171,1214,30,74,275
1,131,1057,37,64,166
0,150,790,30,68,170
1,117,964,26,63,175
0,154,1002,26,69,193
1,149,1134,31,65,180
0,140,748,25,70,135
1,138,869,28,67,155
0,149,1043,44,67,188
1,145,942,25,65,164
0,155,864,19,73,175
1,143,1019,26,64,163
0,152,969,24,68,190
1,144,865,35,63,175
0,141,1095,33,70,215
1,149,975,22,66,170
0,147,770,21,66,145
1,158,814,40,65,155
0,140,840,29,69,155
1,172,947,43,64,153
0,143,1028,31,69,185
1,149,794,20,68,145
0,141,1021,39,75,222
1,132,679,26,63,103
0,138,1061,40,66,190
1,152,890,24,67,150
0,139,1139,39,71,240
1,157,1334,27,80,270
0,140,922,35,73,185
1,136,1076,41,68,196
0,126,995,35,65,161
1,139,1007,30,64,165
0,133,1047,24,70,215
1,157,897,25,62,150
0,138,885,31,67,173
1,160,832,24,61,133
0,147,1379,33,72,310
1,151,766,21,65,128
0,142,750,26,71,147
1,154,878,24,63,153
0,147,970,28,70,190
1,138,943,29,65,160
0,146,1068,40,68,220
1,142,825,23,64,130
0,169,1012,35,75,215
1,144,812,35,70,156
0,142,754,26,64,126
1,143,1062,28,66,185
0,140,926,33,69,160
1,143,914,26,65,135
0,155,827,27,73,160
1,143,987,27,64,182
0,136,940,43,68,174
1,157,868,25,66,145
0,142,1133,28,69,220
1,138,839,27,66,155
0,120,843,32,67,146
1,138,814,22,63,145
0,135,1021,28,66,180
1,151,804,24,63,126
0,155,1061,26,74,235
1,155,925,26,66,180
0,153,786,27,70,150
1,172,805,27,64,130
0,138,855,39,64,158
1,150,811,20,61,140
0,149,830,26,69,165
1,140,757,36,62,123
0,132,743,28,68,140
1,141,839,44,64,132
0,150,967,39,64,164
1,157,821,34,67,145
0,157,922,22,69,165
1,142,1001,26,61,150
0,160,1120,26,73,227
1,144,860,22,69,160
0,167,1060,45,69,205
1,133,922,29,62,150
0,135,1030,39,66,205
1,144,1012,44,66,150
0,161,974,40,69,214
1,149,981,38,63,160
0,165,844,23,73,195
1,141,870,22,66,150
0,144,969,19,72,216
1,171,931,25,68,187
0,148,1010,21,71,190
1,173,895,18,73,184
0,154,892,27,70,163
1,138,925,34,65,170
0,138,1032,41,72,200
1,158,751,20,67,136
0,140,851,33,71,170
1,148,1019,33,67,174
0,151,979,35,68,175
1,129,784,36,61,136
0,126,857,21,62,138
1,128,917,29,63,148
0,146,979,24,68,169
1,156,865,23,65,153
0,154,984,34,72,195
1,145,847,35,66,148
0,155,721,19,70,143
1,155,785,19,61,135
0,150,885,24,67,160
1,133,1004,30,63,170
0,159,961,29,68,190
1,134,759,42,65,129
0,145,996,24,68,190
1,153,955,38,65,156
0,147,838,23,72,166
1,151,694,24,66,125
0,157,752,19,73,150
1,163,1068,35,69,185
